date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:35:44	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1651775836-ssl-df	https://venerable-dieffenbachia-dfefdb.netlify.app/robots.txt		(from )
09:35:45	39766/39766	---MCZ	200	added ('OK')	text/html	etag:%22cec148ba0fa2199d991741d409a61d9c-ssl-df%22	https://venerable-dieffenbachia-dfefdb.netlify.app/index.html	C:/My%20Web%20Sites/new%20magna%20project/venerable-dieffenbachia-dfefdb.netlify.app/index.html	(from )
09:35:50	1264/1264	---M--	200	added ('OK')	image/png	etag:%229898ead74311d5ecb1cb029cd9c3a3ee-ssl%22	https://venerable-dieffenbachia-dfefdb.netlify.app/img/xfav.png.pagespeed.ic.86XnbiuFGc.png	C:/My%20Web%20Sites/new%20magna%20project/venerable-dieffenbachia-dfefdb.netlify.app/img/xfav.png.pagespeed.ic.86XnbiuFGc.png	(from https://venerable-dieffenbachia-dfefdb.netlify.app/index.html)
09:35:57	47632/47632	---MCZ	200	added ('OK')	text/css	etag:%22bd4bea98773636c0121317df995a9bc8-ssl-df%22	https://venerable-dieffenbachia-dfefdb.netlify.app/css/linearicons.css+font-awesome.min.css+bootstrap.css+magnific-popup.css+owl.carousel.css+nice-select.css+hexagons.min.css.pagespeed.cc.e_F6Y5yBxP.css	C:/My%20Web%20Sites/new%20magna%20project/venerable-dieffenbachia-dfefdb.netlify.app/css/linearicons.css+font-awesome.min.css+bootstrap.css+magnific-popup.css+owl.carousel.css+nice-select.css+hexagons.min.css.pagespeed.cc.e_F6Y5yBxP.css	(from https://venerable-dieffenbachia-dfefdb.netlify.app/index.html)
09:35:58	16403/16403	---M-Z	200	added ('OK')	text/css	etag:W/%224013-0RRdO5d1h6ftOnc3gS/c8qeWiyM%22	https://cdn.jsdelivr.net/themify-icons/0.1.2/css/themify-icons.css	C:/My%20Web%20Sites/new%20magna%20project/cdn.jsdelivr.net/themify-icons/0.1.2/css/themify-icons.css	(from https://venerable-dieffenbachia-dfefdb.netlify.app/index.html)
09:36:00	74325/74325	---MCZ	200	added ('OK')	text/css	etag:%22b6d86b7b909c3bd99b93e12c0bdd6112-ssl-df%22	https://venerable-dieffenbachia-dfefdb.netlify.app/css/A.main.css.pagespeed.cf.DQLcLWq5zQ.css	C:/My%20Web%20Sites/new%20magna%20project/venerable-dieffenbachia-dfefdb.netlify.app/css/A.main.css.pagespeed.cf.DQLcLWq5zQ.css	(from https://venerable-dieffenbachia-dfefdb.netlify.app/index.html)
09:36:00	19839/19839	---MCZ	200	added ('OK')	text/css	etag:%2299cbbeaa39f67973d9ec67afbbbf6654-ssl-df%22	https://venerable-dieffenbachia-dfefdb.netlify.app/css1/bootstrap-theme.min.css	C:/My%20Web%20Sites/new%20magna%20project/venerable-dieffenbachia-dfefdb.netlify.app/css1/bootstrap-theme.min.css	(from https://venerable-dieffenbachia-dfefdb.netlify.app/index.html)
09:36:02	39749/39749	---MCZ	200	added ('OK')	text/css	etag:%2258f14cce5c42499b1a7f1fc5616b9ffc-ssl-df%22	https://venerable-dieffenbachia-dfefdb.netlify.app/css1/fontAwesome.css	C:/My%20Web%20Sites/new%20magna%20project/venerable-dieffenbachia-dfefdb.netlify.app/css1/fontAwesome.css	(from https://venerable-dieffenbachia-dfefdb.netlify.app/index.html)
09:36:05	18073/18073	---MCZ	200	added ('OK')	text/css	etag:%2268f2a0229c87c955c21ae4b8bd483e25-ssl-df%22	https://venerable-dieffenbachia-dfefdb.netlify.app/css1/hero-slider.css	C:/My%20Web%20Sites/new%20magna%20project/venerable-dieffenbachia-dfefdb.netlify.app/css1/hero-slider.css	(from https://venerable-dieffenbachia-dfefdb.netlify.app/index.html)
09:36:06	4597/4597	---MCZ	200	added ('OK')	text/css	etag:%22eb17aaabb9eb5d08cee7095214db5ad0-ssl-df%22	https://venerable-dieffenbachia-dfefdb.netlify.app/css1/owl-carousel.css	C:/My%20Web%20Sites/new%20magna%20project/venerable-dieffenbachia-dfefdb.netlify.app/css1/owl-carousel.css	(from https://venerable-dieffenbachia-dfefdb.netlify.app/index.html)
09:36:08	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1651775836-ssl-df	https://venerable-dieffenbachia-dfefdb.netlify.app/POST	C:/My%20Web%20Sites/new%20magna%20project/venerable-dieffenbachia-dfefdb.netlify.app/POST.9.delayed	(from https://venerable-dieffenbachia-dfefdb.netlify.app/index.html)
